ID,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1,2016-02-08 00:37:08,2016-02-08 06:37:08,40.10891,-83.09286,40.11206,-83.03187,3.23,Between Sawmill Rd/Exit 20 and OH-315/Olentangy Riv Rd/Exit 22 - Accident.,,Outerbelt E,R,Dublin,Franklin,OH,43017,US,US/Eastern,KOSU,2016-02-08 00:53:00,42.1,36.1,58.0,29.76,10.0,SW,10.4,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2,2016-02-08 05:56:20,2016-02-08 11:56:20,39.86542,-84.0628,39.86501,-84.04873,0.747,At OH-4/OH-235/Exit 41 - Accident.,,I-70 E,R,Dayton,Montgomery,OH,45424,US,US/Eastern,KFFO,2016-02-08 05:58:00,36.9,,91.0,29.68,10.0,Calm,,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-160,2016-02-14 18:02:32,2016-02-15 00:02:32,39.855691,-84.29079200000002,39.864781,-84.202359,4.732,Closed between Hoke Rd/Exit 26 and I-75/Exit 33 - Road closed due to accident.,,I-70 E,R,Englewood,Montgomery,OH,45322,US,US/Eastern,KDAY,2016-02-14 17:56:00,15.1,-0.1,88.0,30.25,0.8,East,15.0,0.03,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-161,2016-02-14 18:03:51,2016-02-15 00:03:51,40.049152,-85.682047,40.03744,-85.72343000000002,2.334,At IN-67/IN-9/Exit 22 - Accident.,,IN-9 S,R,Anderson,Madison,IN,46013,US,US/Eastern,KAID,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-278,2016-02-18 08:10:12,2016-02-18 14:10:12,40.49223,-80.01029,40.49463,-80.01246,0.201,At US-19-TRUCK/Evergreen Rd/Exit 11 - Accident.,,I-279 N,R,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,2016-02-18 07:53:00,18.0,11.1,81.0,30.53,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-279,2016-02-18 08:32:39,2016-02-18 14:32:39,41.48836,-81.66471,41.49153,-81.67114000000002,0.398,At Woodland Ave/Exit 162 - Accident.,,I-77 N,R,Cleveland,Cuyahoga,OH,44115,US,US/Eastern,KBKL,2016-02-18 08:53:00,19.9,11.1,71.0,30.59,10.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-280,2016-02-18 08:32:39,2016-02-18 14:32:39,39.95085,-82.94428,39.93172,-82.92729,1.599,Closed between Alum Creek Dr/Exit 103 and US-33/Exit 105 - Road closed due to accident.,,I-70 E,R,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,2016-02-18 08:51:00,28.0,21.7,72.0,30.53,7.0,East,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-281,2016-02-18 08:32:39,2016-02-18 14:32:39,41.42063,-81.80859,41.42065,-81.81108,0.129,At I-71/Exit 11 - Accident.,,Outerbelt South Fwy W,R,Cleveland,Cuyahoga,OH,44135,US,US/Eastern,KCLE,2016-02-18 08:51:00,16.0,6.3,81.0,30.62,10.0,ESE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-79,2016-02-11 05:25:17,2016-02-11 11:25:17,41.62845,-84.80559000000002,41.62873,-84.80369,0.1,Closed at Ohio/Indiana State Line - Road closed due to accident.,,I-90 E,R,Angola,Steuben,IN,46703,US,US/Eastern,KANQ,2016-02-11 05:35:00,12.2,6.1,92.0,30.09,9.0,West,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-80,2016-02-11 05:25:17,2016-02-11 11:25:17,41.62894,-84.80373,41.62866,-84.80561999999998,0.1,Closed at I-69/US-27/Exit 144 - Road closed due to accident.,,I-80 W,R,Edon,Williams,OH,43518,US,US/Eastern,KANQ,2016-02-11 05:35:00,12.2,6.1,92.0,30.09,9.0,West,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-81,2016-02-11 05:35:40,2016-02-11 11:35:40,41.16102,-81.78573,41.15666,-81.78645999999998,0.304,At I-271/Exit 220 - Accident.,,I-71 S,R,Medina,Medina,OH,44256,US,US/Eastern,KCLE,2016-02-11 05:51:00,14.0,0.5,56.0,30.14,9.0,NW,11.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-82,2016-02-11 06:25:19,2016-02-11 12:25:19,41.628232,-84.808858,41.735609,-84.982632,11.638,Closed between Indiana/Ohio State Line and I-69/US-27/Exit 144 - Road closed due to accident.,,I-80 W,R,Angola,Steuben,IN,46703,US,US/Eastern,KANQ,2016-02-11 06:35:00,12.2,4.3,92.0,30.12,10.0,WNW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
